Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
7524,PEL.L15.2616,giuseppe,0.2,0,05/10/2020,,,,,,
7693,PEL.F30.VIM020,x.pol.t08,52.7,4796,05/10/2020,,,,,,
7658S.I.,PEL.F20P.MACA540,giuseppe,0.293,22,05/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,0.389,0,05/10/2020,,,,,,
7673C,CRO.S20P.MACA850,giuseppe,0.039,0,05/10/2020,,,,,,
7682S.I. PROVA1,PEL.F20P.MACA80,giuseppe,0.787,0,05/10/2020,,,,,,
7449,PEL.F30.VIM710,x.pol.t08,1.944,225,05/10/2020,,,,,,
7626,PEL.F30.CER000,giuseppe,36.4,2979,05/10/2020,,,,,,
7573C,CRO.S30.CER000,giuseppe,18.8,506,05/10/2020,,,,,,
7664S.I.,PEL.F20P.MACA330,giuseppe,58,5273,05/10/2020,,,,,,
7664C,CRO.S20P.MACA330,giuseppe,43.85,1701,05/10/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,giuseppe,0.502,0,06/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,1.032,0,06/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,65.85,7851,06/10/2020,,,,,,
7652,PEL.F30.CER880,giuseppe,65.95,6676,06/10/2020,,,,,,
7652C,CRO.S30.CER880,vitogiorgio,37.85,1290,07/10/2020,,,,,,
7652C,CRO.S30.CER880,vitogiorgio,37.95,1514,07/10/2020,,,,,,
7698S.I.,PEL.F20P.MACA000,vitogiorgio,75.85,4141,07/10/2020,,,,,,
7698S.I.,PEL.F20P.MACA000,vitogiorgio,76.816,4532,07/10/2020,,,,,,
7698C,CRO.S20P.MACA000,vitogiorgio,35.4,1088,07/10/2020,,,,,,
7698C,CRO.S20P.MACA000,vitogiorgio,34.535,628,07/10/2020,,,,,,
7591,PEL.F30.VIM800,giuseppe,0.144,0,06/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,0.12,130,06/10/2020,,,,,,
7663S.I.,PEL.F20P.MACA001,vitogiorgio,69.285,5701,07/10/2020,,,,,,
7663S.I.,PEL.F20P.MACA001,nicolagaletta,68.05,6376,09/10/2020,,,,,,
7663C,CRO.S20P.MACA001,giuseppe,46.8,1804,06/10/2020,,,,,,
7663C,CRO.S20P.MACA001,giuseppe,43.93,1502,06/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,70.9,5315,06/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,71.1,4697,06/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,71,7276,06/10/2020,,,,,,
7625C,CRO.S20P.MACA007,giuseppe,48.1,1473,06/10/2020,,,,,,
7625C,CRO.S20P.MACA007,giuseppe,49.78,1445,06/10/2020,,,,,,
7625C,CRO.S20P.MACA007,giuseppe,48.95,1185,06/10/2020,,,,,,
7604S.I.,PEL.F20P.MACA86,giuseppe,0.08,0,06/10/2020,,,,,,
7634S.I.,PEL.F20P.MACA745,giuseppe,1.6,0,06/10/2020,,,,,,
7570C,CRO.S20P.MACA745,giuseppe,1.25,0,06/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,63.15,6689,06/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,62.8,6686,06/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,62.8,5826,06/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,63.32,5894,06/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,41.15,1365,06/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,42.25,1691,06/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,39.76,1298,06/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,42.69,1188,06/10/2020,,,,,,
7591,PEL.F30.VIM800,giuseppe,0.145,0,06/10/2020,,,,,,
7591,PEL.F30.VIM800,giuseppe,0.145,0,06/10/2020,,,,,,
7552,PEL.F20P.MACA81,x.pol.t08,11.8,1783,06/10/2020,,,,,,
7356,PEL.F20P.MACA11,x.pol.t08,14.8,1085,06/10/2020,,,,,,
2038C,CRO.S20P.MACA11,x.pol.t08,11.05,391,06/10/2020,,,,,,
7698S.I.,PEL.F20P.MACA000,giuseppe,6.689,939,06/10/2020,,,,,,
7680S.I.,PEL.F20P.MACA755,giuseppe,66.25,6022,06/10/2020,,,,,,
7680S.I.,PEL.F20P.MACA755,giuseppe,66.05,3476,06/10/2020,,,,,,
7680C,CRO.S20P.MACA755,giuseppe,46.7,1635,06/10/2020,,,,,,
7680C,CRO.S20P.MACA755,giuseppe,35.95,2138,06/10/2020,,,,,,
7691,PEL.F30.CER880,x.pol.t08,55.8,3804,06/10/2020,,,,,,
7691C,CRO.S30.CER880,x.pol.t08,30.9,1840,06/10/2020,,,,,,
7691,PEL.F30.CER880,x.pol.t08,62.55,4037,06/10/2020,,,,,,
